Ensembl Gene ID,Gene Start (bp),Gene End (bp),Chromosome Name,Strand,Associated Gene Name
ENSMUSG00000028266,144188530,144205220,3,-1,Lmo4
ENSMUSG00000094444,31735963,31736490,Y,-1,Gm21562
ENSMUSG00000042367,127325235,127330844,4,-1,Gjb3
ENSMUSG00000026312,109982431,110140157,1,1,Cdh7
ENSMUSG00000091811,16272014,16273692,7,-1,Inafm1
ENSMUSG00000025496,141292006,141294999,7,1,Drd4
ENSMUSG00000102494,4316479,4318886,2,1,RP23-416H10.8
ENSMUSG00000081675,72572530,72573330,11,-1,Gm12712
ENSMUSG00000064090,26471322,26593999,11,-1,Vrk2
ENSMUSG00000020275,23741514,23770970,11,-1,Rel
ENSMUSG00000095663,8518683,8519953,15,-1,Gm2310
ENSMUSG00000018398,53519257,53549565,11,1,Sept8
ENSMUSG00000044424,23619742,23620320,19,1,Gm9493
ENSMUSG00000021139,81358860,81532905,12,-1,Gm20498
ENSMUSG00000094262,69399810,69400097,6,-1,Igkv4-62
ENSMUSG00000025330,140745865,140774236,4,-1,Padi4
ENSMUSG00000023224,84765387,84775444,2,-1,Serping1
ENSMUSG00000061232,33996017,34000333,17,-1,H2-K1
ENSMUSG00000072962,44100442,44102513,5,1,Gm16401
ENSMUSG00000068328,83054653,83057680,6,1,Aup1
ENSMUSG00000090714,11161374,11166182,7,-1,Zscan4d
ENSMUSG00000066475,38244828,38245382,18,1,Gm10268
ENSMUSG00000086591,69448548,69453676,11,1,Dnah2os
ENSMUSG00000087433,151540731,151542348,2,-1,Gm14167
ENSMUSG00000074650,113039301,113042243,13,-1,Gm10735
ENSMUSG00000095450,46295,46666,GL456221.1,-1,AC132444.4
ENSMUSG00000083574,144406602,144406814,5,1,Gm15709
ENSMUSG00000104079,30488426,30489293,3,1,RP24-120B18.6
ENSMUSG00000074466,89391850,89398779,3,1,Gm15417
ENSMUSG00000062382,74406396,74407317,13,1,Gm10116
ENSMUSG00000068823,103020546,103058189,3,1,Csde1
ENSMUSG00000024208,27122663,27133916,17,-1,Uqcc2
ENSMUSG00000046753,27482412,27508460,14,-1,Ccdc66
ENSMUSG00000091198,81499084,81499548,15,-1,Gm5218
ENSMUSG00000086894,144277061,144280513,5,1,Gm15708
ENSMUSG00000050373,164785823,164793816,2,1,Snx21
ENSMUSG00000022760,17527982,17531136,16,-1,Thap7
ENSMUSG00000036712,88697028,88751945,8,1,Cyld
ENSMUSG00000058927,24875686,24876634,19,1,Gm10053
ENSMUSG00000057685,88478586,88479056,13,1,Gm8526
ENSMUSG00000070527,62417593,62420139,7,-1,Mkrn3
ENSMUSG00000087013,85791661,85832223,11,-1,2610027K06Rik
ENSMUSG00000102136,4178110,4180661,2,1,RP23-416H10.6
ENSMUSG00000059534,4701973,4704342,11,-1,Uqcr10
ENSMUSG00000084916,108377877,108381093,11,1,Gm11656
ENSMUSG00000023045,102150526,102163474,15,1,Soat2
ENSMUSG00000101261,39655663,39685293,14,1,1700109I08Rik
ENSMUSG00000024937,5707376,5726317,19,-1,Ehbp1l1
ENSMUSG00000020668,3365132,3406494,12,1,Kif3c
ENSMUSG00000086078,107994022,107994631,11,1,Gm11657
ENSMUSG00000103870,30272322,30274385,3,-1,RP23-95I4.2
ENSMUSG00000086921,4137774,4144102,2,1,Gm13189
ENSMUSG00000079638,37412067,37424764,X,1,Rhox2b
ENSMUSG00000102460,30225573,30227694,3,-1,RP23-95I4.3
ENSMUSG00000023019,99717515,99725005,15,1,Gpd1
ENSMUSG00000018900,53864542,53891660,11,-1,Slc22a5
ENSMUSG00000104486,30160253,30161886,3,-1,RP23-435E7.3
ENSMUSG00000060044,68723746,68782654,10,1,Tmem26
ENSMUSG00000095510,37580992,37585496,X,1,Rhox3f
ENSMUSG00000086142,88729828,88732272,X,1,Smek3-ps
ENSMUSG00000040033,128270576,128292849,10,1,Stat2
ENSMUSG00000094622,81745983,81747503,10,-1,Gm3055
ENSMUSG00000032388,65460937,65488470,9,1,Spg21
ENSMUSG00000071648,8927382,8929356,19,-1,Rom1
ENSMUSG00000057903,50424521,50425450,14,1,Olfr739
ENSMUSG00000096650,35895328,35921526,Y,-1,Gm20896
ENSMUSG00000024815,30003790,30006020,19,1,Trpd52l3
ENSMUSG00000082893,33120516,33121322,13,-1,Gm11383
ENSMUSG00000097198,93044720,93048430,5,1,9330159N05Rik
ENSMUSG00000096874,60771780,60772145,13,1,Gm10312
ENSMUSG00000079644,26879567,26923081,9,-1,Gm1110
ENSMUSG00000031982,124722139,124734123,8,1,Arv1
ENSMUSG00000036537,37191245,37192467,X,1,Rnf113a1
ENSMUSG00000103777,93282826,93283581,3,1,AC158361.6
ENSMUSG00000075592,55854036,55874735,14,1,Nynrin
ENSMUSG00000019494,138161071,138164646,5,1,Cops6
ENSMUSG00000076895,54184699,54184756,14,1,Traj34
ENSMUSG00000066407,73317844,73318143,13,1,Gm10263
ENSMUSG00000038473,170302668,170589861,1,-1,Nos1ap
ENSMUSG00000038208,98388677,98400490,11,-1,Pgap3
ENSMUSG00000027287,120567671,120601255,2,1,Snap23
ENSMUSG00000096718,81905073,81910899,10,-1,Zfp781
ENSMUSG00000037003,102102988,102116401,15,1,Tenc1
ENSMUSG00000073427,82378593,82381237,10,1,Gm4924
ENSMUSG00000059713,135412308,135433853,4,-1,Rcan3
ENSMUSG00000024856,4097182,4099019,19,1,Cdk2ap2
ENSMUSG00000066361,104146382,104153870,12,-1,Serpina3c
ENSMUSG00000048643,88924050,88924217,16,-1,Krtap19-9a
ENSMUSG00000036913,124793019,124834713,8,1,Trim67
ENSMUSG00000009114,76449081,76461110,10,1,2610028H24Rik
ENSMUSG00000095879,18061270,18061812,Y,-1,Gm21764
ENSMUSG00000102324,107630776,107632539,9,-1,RP23-456B9.18
ENSMUSG00000094350,137009,137560,JH584294.1,1,Gm10931
ENSMUSG00000103738,30501719,30503813,3,-1,RP24-120B18.2
ENSMUSG00000020876,96767555,96777559,11,-1,Snx11
ENSMUSG00000078125,50769248,50769730,14,1,Gm10916
ENSMUSG00000034321,41922980,41933314,19,-1,Exosc1
ENSMUSG00000099656,138184101,138184584,1,1,RP23-361M12.3
ENSMUSG00000100951,84833330,84834025,Y,-1,Gm29339
ENSMUSG00000057363,43746966,43827800,1,-1,Uxs1
ENSMUSG00000083178,49069696,49071070,11,-1,Gm12187
ENSMUSG00000097129,62449489,62451322,10,1,4930507D05Rik
ENSMUSG00000099621,79074245,79074940,Y,-1,Gm20919
ENSMUSG00000073752,130308162,130308674,4,-1,Gm10570
ENSMUSG00000079871,12652303,12652662,X,1,Gm4984
ENSMUSG00000095329,23968510,23968845,12,-1,Gm17330
ENSMUSG00000035401,98590615,98656569,7,-1,2210018M11Rik
ENSMUSG00000061259,86302217,86373420,5,-1,Tmprss11d
ENSMUSG00000078349,156203304,156205151,4,1,AW011738
ENSMUSG00000076939,19241211,19241679,16,-1,Iglv3
ENSMUSG00000079834,159647,334183,GL456233.1,1,Tmlhe
ENSMUSG00000094250,56787517,56787687,14,-1,Gm4479
ENSMUSG00000096577,115742205,115742506,12,-1,Ighv1-71
ENSMUSG00000094840,137208813,137212389,5,-1,A630081J09Rik
ENSMUSG00000042087,117907110,117907760,6,-1,4933440N22Rik
ENSMUSG00000090602,17030045,17030899,9,1,Gm5611
ENSMUSG00000096146,46098725,46099897,7,-1,Kcnj11
ENSMUSG00000078922,48985327,48994172,11,-1,Tgtp1
ENSMUSG00000102721,80747222,80749054,1,-1,RP23-328G14.1
ENSMUSG00000074357,47675391,47677055,8,1,AA386476
ENSMUSG00000032939,94214597,94315066,8,1,Nup93
ENSMUSG00000096923,6200029,6201643,11,1,A730071L15Rik
ENSMUSG00000044375,71743557,71752885,17,-1,BC027072
ENSMUSG00000034584,53301670,53377514,9,1,Exph5
ENSMUSG00000059768,105126372,105128405,7,-1,Olfr682-ps1
ENSMUSG00000091906,102760255,102761896,13,1,1700099I09Rik
ENSMUSG00000103512,93871347,93871542,3,1,RP23-199D18.8
ENSMUSG00000044814,102476773,102477902,7,-1,Olfr543
ENSMUSG00000090816,86539883,86541334,10,-1,Gm6729
ENSMUSG00000024979,55180733,55196313,19,1,Tectb
ENSMUSG00000028407,40269569,40270940,4,1,Toporsos
ENSMUSG00000027233,122120108,122186189,2,-1,Patl2
ENSMUSG00000096881,67606856,67631468,Y,-1,Gm20874
ENSMUSG00000046182,125878419,126082411,7,-1,Gsg1l
ENSMUSG00000058569,55593135,55597663,13,1,Tmed9
ENSMUSG00000071645,8953850,8966207,19,1,Tut1
ENSMUSG00000047193,6928503,7184446,9,-1,Dync2h1
ENSMUSG00000084793,57519043,57520624,12,-1,Gm2568
ENSMUSG00000004677,71272714,71360712,8,1,Myo9b
ENSMUSG00000078920,49076587,49096974,11,1,Ifi47
ENSMUSG00000082007,162576618,162577071,X,-1,Gm15206
ENSMUSG00000038745,140920902,140929192,7,1,Nlrp6
ENSMUSG00000075596,95723587,95726710,11,1,B130006D01Rik
ENSMUSG00000104453,81530309,81532521,7,-1,WI1-1616M8.3
ENSMUSG00000021177,99884517,99955219,12,1,Tdp1
ENSMUSG00000036860,59202486,59206134,11,1,Mrpl55
ENSMUSG00000040605,97356728,97439012,16,1,Bace2
ENSMUSG00000059461,162566857,162567243,X,1,Gm7331
ENSMUSG00000050965,107933387,108343928,11,-1,Prkca
ENSMUSG00000044454,20054466,20055461,9,-1,Olfr867
ENSMUSG00000056772,88806391,88807140,8,1,Rps6-ps2
ENSMUSG00000020064,63243797,63317881,10,1,Herc4
ENSMUSG00000100426,62821355,62832370,1,-1,Gm4208
ENSMUSG00000060404,21115694,21116647,13,1,Olfr1369-ps1
ENSMUSG00000090781,68647999,68648121,6,-1,Igkv2-95-2
ENSMUSG00000026626,191351975,191403272,1,-1,Ppp2r5a
ENSMUSG00000091947,81532968,81557458,12,1,6530401F13Rik
ENSMUSG00000044106,20098626,20101690,9,1,Olfr868
ENSMUSG00000030713,43811444,43816359,7,1,Klk7
ENSMUSG00000049864,38367548,38368543,9,1,Olfr250
ENSMUSG00000084849,81461159,81462972,10,1,Gm16105
ENSMUSG00000047843,144244437,144446757,5,1,Bri3
ENSMUSG00000026987,59899363,60209839,2,-1,Baz2b
ENSMUSG00000100631,85579241,85580185,2,1,Olfr996
ENSMUSG00000099220,71827276,71827537,9,-1,Gm27220
ENSMUSG00000030654,118118891,118129625,7,-1,Arl6ip1
ENSMUSG00000063166,53525703,53526059,13,1,Gm5449
ENSMUSG00000044526,56511248,56512483,17,-1,Znrf4
ENSMUSG00000074182,145576208,145605245,3,1,Znhit6
ENSMUSG00000094420,68631963,68632430,6,-1,Igkv10-96
ENSMUSG00000043895,20965952,20976793,9,-1,S1pr2
ENSMUSG00000047293,58717435,58718724,16,-1,Gpr15
ENSMUSG00000096421,77726486,77726848,10,1,Gm10100
ENSMUSG00000043948,105336746,105337714,7,-1,Olfr691
ENSMUSG00000074108,106927769,106928413,8,-1,Rpl10-ps2
ENSMUSG00000031839,119344538,119348927,8,1,Hsbp1
ENSMUSG00000049521,78842647,78850902,15,1,Cdc42ep1
ENSMUSG00000069892,49015874,49051242,11,-1,9930111J21Rik2
ENSMUSG00000026069,40429570,40465415,1,1,Il1rl1
ENSMUSG00000090987,100396287,100397072,10,-1,Gm4781
ENSMUSG00000026869,34852088,34874968,2,-1,Psmd5
ENSMUSG00000095742,66,1479,JH584295.1,-1,Cd99
ENSMUSG00000049362,58796779,58797942,16,-1,Olfr173
ENSMUSG00000062235,90107477,90107968,7,-1,Gm5341
ENSMUSG00000045095,93675455,94283322,6,-1,Magi1
ENSMUSG00000073979,102534749,102535688,7,1,Olfr547
ENSMUSG00000039865,121459529,121532344,3,-1,Slc44a3
ENSMUSG00000091821,123221399,123222481,X,-1,Srsx
ENSMUSG00000017057,36112110,36171259,X,1,Il13ra1
ENSMUSG00000042807,53806876,54195168,1,-1,Hecw2
ENSMUSG00000026937,25657952,25661977,2,1,Lcn5
ENSMUSG00000029337,98254184,98277030,5,1,Fgf5
ENSMUSG00000050545,4746216,4769267,12,-1,Fam228b
ENSMUSG00000094315,69059692,69060224,6,-1,Igkv4-78
ENSMUSG00000041215,20141063,20232573,16,1,Yeats2
ENSMUSG00000069925,104795237,104798792,8,1,4932416K20Rik
ENSMUSG00000030641,92857529,92874213,7,-1,Ddias
ENSMUSG00000038704,44465391,44467757,7,1,Aspdh
ENSMUSG00000037361,4817608,4827658,12,1,Sf3b6
ENSMUSG00000021432,38932140,38960875,13,-1,Slc35b3
ENSMUSG00000076539,68990760,68991049,6,-1,Igkv4-81
ENSMUSG00000097277,81523550,81531498,7,1,2900076A07Rik
ENSMUSG00000022353,58941244,59082026,15,-1,Mtss1
ENSMUSG00000074776,97682102,97682416,10,-1,Gm10754
ENSMUSG00000045915,68587021,68597966,11,1,Ccdc42
ENSMUSG00000015605,46546839,46556162,17,-1,Srf
ENSMUSG00000094195,94624013,94626521,5,1,Gm6509
ENSMUSG00000096486,96136603,96136914,10,1,Gm5426
ENSMUSG00000095562,170009659,170019281,X,1,Gm21887
ENSMUSG00000028032,131564768,131643670,3,1,Papss1
ENSMUSG00000029328,100033577,100039664,5,-1,Hnrnpdl
ENSMUSG00000062226,111168340,111168693,X,1,Gm10112
ENSMUSG00000044134,121849028,121854599,5,1,Fam109a
ENSMUSG00000030049,87373365,87379494,6,1,Gkn2
ENSMUSG00000053226,84815405,84822823,8,-1,Dand5
ENSMUSG00000103974,21500953,21501430,13,-1,AL589742.1
ENSMUSG00000102446,176339127,176339643,1,-1,RP23-387L22.1
ENSMUSG00000039684,31248140,31251045,10,1,Gm5422
ENSMUSG00000022997,98789857,98793837,15,1,Wnt1
ENSMUSG00000045609,110304776,110305504,13,-1,Gm5455
ENSMUSG00000051965,18987524,18988962,7,1,Nanos2
ENSMUSG00000054944,97733498,97747411,13,-1,5330416C01Rik
ENSMUSG00000038560,97013394,97024734,11,1,Sp6
ENSMUSG00000080057,37970874,37972334,4,1,Gm12378
ENSMUSG00000067526,12073695,12074633,19,-1,Olfr1425
ENSMUSG00000095637,31715660,31717156,X,-1,Gm21608
ENSMUSG00000093570,4807055,4816328,6,-1,Gm20714
ENSMUSG00000094544,118325725,118326969,10,-1,Gm9040
ENSMUSG00000094160,20356798,20357760,7,-1,Vmn1r-ps79
ENSMUSG00000052160,112760655,112768986,12,1,Pld4
ENSMUSG00000071014,40270591,40279421,4,-1,Ndufb6
ENSMUSG00000020522,57518664,57533815,11,1,Mfap3
ENSMUSG00000101807,31879045,31880038,7,1,Gm9120
ENSMUSG00000015126,25240170,25242798,17,1,Tsr3
ENSMUSG00000030525,63098692,63212526,7,-1,Chrna7
ENSMUSG00000078912,169582845,169587745,2,-1,Gm11011
ENSMUSG00000076543,69184826,69185361,6,-1,Igkv4-74
ENSMUSG00000048661,120923413,120979332,10,-1,Lemd3
ENSMUSG00000046985,44175164,44226606,5,-1,Tapt1
ENSMUSG00000037438,99898287,99898556,15,-1,Gm9763
ENSMUSG00000042699,153455758,153487660,1,-1,Dhx9
ENSMUSG00000037735,5375870,5416631,12,1,2810032G03Rik
ENSMUSG00000069041,40708855,40725593,3,1,Slc25a31
ENSMUSG00000096833,69607275,69607801,6,-1,Igkv4-55
ENSMUSG00000044461,59625281,59631658,14,1,Shisa2
ENSMUSG00000090665,99443730,99447007,10,1,Gad1-ps
ENSMUSG00000064288,21750194,21750505,13,-1,Hist1h4k
ENSMUSG00000004698,34371503,34528889,12,-1,Hdac9
ENSMUSG00000093909,42456965,42461867,4,1,Gm3883
ENSMUSG00000031375,73483602,73495933,X,1,Bgn
ENSMUSG00000095332,91945703,91947655,2,1,Gm9821
ENSMUSG00000001988,16455721,16476780,7,-1,Npas1
ENSMUSG00000095601,37380028,37384493,X,1,Rhox3a2
ENSMUSG00000057157,147408982,147409359,5,1,Gm6054
ENSMUSG00000030816,127588698,127603605,7,1,Rnf40
ENSMUSG00000043501,78850862,78855529,15,-1,Lgals2
ENSMUSG00000031683,78804865,78821140,8,-1,Lsm6
ENSMUSG00000075485,105146893,105147261,11,1,Gm10842
ENSMUSG00000103319,68821093,68822209,X,1,AC055766.1
ENSMUSG00000064208,27936364,27936828,10,1,Gm10145
ENSMUSG00000076934,19085017,19085460,16,-1,Iglv1
ENSMUSG00000091903,11594913,11599784,5,1,Gm6460
ENSMUSG00000061048,106510913,106556908,8,1,Cdh3
ENSMUSG00000021493,55495795,55513676,13,-1,Pdlim7
ENSMUSG00000098799,19342152,19342212,13,1,Trgj4
ENSMUSG00000079543,69750856,69751310,6,-1,Igkv12-47
ENSMUSG00000039414,78752906,78835381,17,-1,Heatr5b
ENSMUSG00000039555,51216678,51230272,4,1,Cylc2
ENSMUSG00000104086,107241220,107243997,9,1,RP23-115A1.13
ENSMUSG00000059326,61224402,61228418,19,-1,Csf2ra
ENSMUSG00000031592,41239759,41334086,8,1,Pcm1
ENSMUSG00000050721,65554386,65580040,9,-1,Plekho2
ENSMUSG00000038446,40831626,40883143,10,-1,Cdc40
ENSMUSG00000022091,70180468,70207637,14,-1,Sorbs3
ENSMUSG00000070606,43387686,43387949,7,-1,Gm10298
ENSMUSG00000100291,82877864,82881853,6,-1,2310069B03Rik
ENSMUSG00000027525,178118975,178338492,2,1,Phactr3
ENSMUSG00000073971,102640248,102641201,7,1,Olfr554
ENSMUSG00000035305,100095791,100444765,4,1,Ror1
ENSMUSG00000021611,73627001,73649041,13,1,Tert
ENSMUSG00000029392,124493082,124531391,5,-1,Rilpl1
ENSMUSG00000076550,69377944,69378229,6,-1,Igkv4-63
ENSMUSG00000103128,121127940,121129029,8,1,AC127554.1
ENSMUSG00000074093,51997165,52006018,7,-1,Svip
ENSMUSG00000071052,57838427,57839233,17,-1,Rpl7a-ps5
ENSMUSG00000051827,37244976,37249686,X,1,Rhox2a
ENSMUSG00000040855,162411954,162643649,X,-1,Reps2
ENSMUSG00000024245,80944632,81001816,17,1,Tmem178
ENSMUSG00000001014,21029373,21030531,9,1,Icam4
ENSMUSG00000085284,71439714,71469851,X,1,Gm16189
ENSMUSG00000095659,34237100,34237786,X,-1,Spin2-ps5
ENSMUSG00000047911,70647302,70653084,14,-1,Npm2
ENSMUSG00000057346,77403789,77411080,15,-1,Apol9a
ENSMUSG00000006529,30929180,30943289,14,-1,Itih1
ENSMUSG00000091742,46439578,46440099,17,-1,Gm5093
ENSMUSG00000094441,33241519,33255040,17,-1,Zfp955a
ENSMUSG00000030703,126766414,126775643,7,1,Gdpd3
ENSMUSG00000027519,173659760,173707343,2,1,Rab22a
ENSMUSG00000029134,32232708,32366520,5,1,Plb1
ENSMUSG00000071470,50789249,50795728,14,-1,Ccnb1ip1
ENSMUSG00000070423,102702331,102712054,7,1,Olfr558
ENSMUSG00000044447,67751928,67933572,14,-1,Dock5
ENSMUSG00000024959,6941861,6951898,19,1,Bad
ENSMUSG00000048200,141461094,141466613,7,1,Cracr2b
ENSMUSG00000091039,89205861,89206388,16,1,Krtap20-2
ENSMUSG00000048897,80024814,80092751,7,1,Zfp710
ENSMUSG00000028684,116989965,116994413,4,-1,Urod
ENSMUSG00000028048,89202928,89208681,3,1,Gba
ENSMUSG00000041747,98246845,98262992,13,-1,Utp15
ENSMUSG00000048516,43568278,43576707,8,-1,Adam26a
ENSMUSG00000029335,98854439,98880960,5,1,Bmp3
ENSMUSG00000060176,58287516,58354862,13,-1,Kif27
ENSMUSG00000069910,34809190,34833641,11,-1,Spdl1
ENSMUSG00000087700,73926481,73949785,12,-1,Gm15283
ENSMUSG00000068149,19479420,19481319,X,-1,BC049702
ENSMUSG00000081947,11984475,11984650,X,1,Gm14512
ENSMUSG00000021319,19623175,19632821,13,1,Sfrp4
ENSMUSG00000048163,113817798,113830501,5,-1,Selplg
ENSMUSG00000040331,130532523,130573118,7,-1,Nsmce4a
ENSMUSG00000076532,68768568,68769103,6,-1,Igkv4-91
ENSMUSG00000102986,20787937,20788146,3,1,RP24-268H11.2
ENSMUSG00000031774,94574943,94601726,8,-1,Fam192a
ENSMUSG00000095608,129974605,129975567,10,-1,Olfr247
ENSMUSG00000030966,102557922,102565469,7,-1,Trim21
ENSMUSG00000101016,3804121,3804701,Y,-1,Gm2325
ENSMUSG00000095996,95190874,95195342,5,1,Gm16513
ENSMUSG00000060419,129128077,129128517,5,-1,Rps16-ps2
ENSMUSG00000032889,28339104,28339867,11,-1,Gm6685
ENSMUSG00000063021,21753435,21753827,13,-1,Hist1h2ak
ENSMUSG00000039530,39005867,39165112,8,1,Tusc3
ENSMUSG00000095143,98499082,98509967,3,-1,Hsd3b4
ENSMUSG00000090118,124831698,124863703,8,1,Gm16163
ENSMUSG00000083779,86792474,86792783,X,1,Gm14775
ENSMUSG00000095753,69648824,69649115,6,-1,Igkv4-53
ENSMUSG00000002897,120463197,120483727,6,1,Il17ra
ENSMUSG00000095806,20374493,20375410,7,-1,Gm5728
ENSMUSG00000039934,21186267,21291701,5,1,Gsap
ENSMUSG00000087067,97020508,97026248,11,-1,Gm11532
ENSMUSG00000096910,33289649,33303196,17,1,Zfp955b
ENSMUSG00000086199,85702200,85719744,11,-1,Bcas3os1
ENSMUSG00000068068,89169490,89169648,16,1,Gm7735
ENSMUSG00000035873,108332189,108414391,10,1,Pawr
ENSMUSG00000031808,71568927,71586708,8,1,Slc27a1
ENSMUSG00000006948,43881172,43885804,7,1,Klk4
ENSMUSG00000048469,102803480,102804430,7,1,Olfr564
ENSMUSG00000016386,106693269,106868356,2,1,Mpped2
ENSMUSG00000094356,70143593,70143897,6,-1,Igkv8-28
ENSMUSG00000019433,83652678,83664788,8,1,Gipc1
ENSMUSG00000021986,60378286,60381003,14,1,Amer2
ENSMUSG00000071036,86497732,86505232,17,-1,Gm10309
ENSMUSG00000096574,3332627,3354799,14,1,Gm2956
ENSMUSG00000063623,29953621,29955992,7,1,C230062I16Rik
ENSMUSG00000069755,20899822,20900867,12,-1,Zfp125
ENSMUSG00000090381,24070074,24070637,14,1,Gm6158
ENSMUSG00000029378,91139615,91148432,5,1,Areg
ENSMUSG00000073965,102877122,102878063,7,1,Olfr568
ENSMUSG00000103533,20804475,20806086,3,1,RP24-268H11.3
ENSMUSG00000002847,38396119,38433145,16,-1,Pla1a
ENSMUSG00000043346,91236787,91238116,17,1,Gm6741
ENSMUSG00000039456,93832121,93876072,16,1,Morc3
ENSMUSG00000064210,95790843,95975464,15,1,Ano6
ENSMUSG00000096912,118342011,118343255,10,-1,Gm9046
ENSMUSG00000100770,118478604,118479591,1,-1,Gm28466
ENSMUSG00000024665,10064164,10101503,19,-1,Fads2
ENSMUSG00000047990,67830532,67832330,9,-1,C2cd4a
ENSMUSG00000083251,21309162,21309942,8,1,Gm15300
ENSMUSG00000022227,56017964,56020391,14,1,Mcpt1
ENSMUSG00000007480,68337603,68339711,18,1,Mc5r
ENSMUSG00000079360,11280932,11281933,14,-1,Gm3839
ENSMUSG00000021669,96542618,96640167,13,1,Col4a3bp
ENSMUSG00000101781,36308401,36311744,Y,1,Gm28333
ENSMUSG00000076535,68862265,68863031,6,-1,Igkv1-88
ENSMUSG00000029389,124552864,124569660,5,1,Ddx55
ENSMUSG00000066620,30709736,30710263,7,1,Gm4883
ENSMUSG00000028860,133253090,133263113,4,-1,Sytl1
ENSMUSG00000096435,118352861,118354105,10,-1,Gm9049
ENSMUSG00000100072,53125511,53126206,Y,-1,Gm21275
ENSMUSG00000076549,69304834,69305363,6,-1,Igkv4-68
ENSMUSG00000100855,41648876,41694487,10,-1,Gm6976
ENSMUSG00000091460,19927896,19928282,9,-1,Gm7808
ENSMUSG00000033712,70138177,70153811,14,-1,Ccar2
ENSMUSG00000095633,69500254,69500545,6,-1,Igkv4-58
ENSMUSG00000079603,9591219,9597843,2,-1,Gm13218
ENSMUSG00000087484,144241690,144256186,5,-1,2900089D17Rik
ENSMUSG00000050974,14494561,14495157,12,1,Gm9847
ENSMUSG00000067482,13078821,13079335,19,-1,Olfr1456-ps1
ENSMUSG00000092312,9058360,9062754,7,-1,Zfp419
ENSMUSG00000076591,70386672,70387238,6,-1,Igkv8-16
ENSMUSG00000059827,22558082,22558453,14,-1,Gm5670
ENSMUSG00000100564,49658538,49659233,Y,-1,Gm28682
ENSMUSG00000006736,127067317,127070261,10,-1,Tspan31
ENSMUSG00000036678,102338247,102350759,15,-1,Aaas
ENSMUSG00000071662,8793129,8798557,19,-1,Polr2g
ENSMUSG00000034071,12415153,12422751,7,-1,Zfp551
ENSMUSG00000045362,143607685,143627845,7,-1,Tnfrsf26
ENSMUSG00000086174,8588407,8589196,19,-1,Gm6425
ENSMUSG00000031807,71592176,71601092,8,1,Pgls
ENSMUSG00000051190,78846951,78847913,10,-1,Olfr1356
ENSMUSG00000062844,13102379,13103284,19,-1,Olfr1458
ENSMUSG00000097630,4832196,4832404,6,1,Gm26828
ENSMUSG00000033106,106200438,106210933,8,-1,Slc7a6os
ENSMUSG00000044017,129096750,129204599,5,1,Gpr133
ENSMUSG00000024940,5740904,5758532,19,1,Ltbp3
ENSMUSG00000063273,51415148,51476507,3,1,Naa15
ENSMUSG00000073233,7859827,7861205,12,1,Gm9144
ENSMUSG00000021719,104947153,105054930,13,-1,Rgs7bp
ENSMUSG00000103399,7893335,7893919,3,1,RP23-233F23.2
ENSMUSG00000060477,113638467,113695009,6,1,Irak2
ENSMUSG00000002342,70172356,70183681,8,1,Tmem161a
ENSMUSG00000005107,38349273,38503143,5,-1,Slc2a9
ENSMUSG00000035262,80805248,80807648,10,1,Amh
ENSMUSG00000066269,102954664,102955620,7,-1,Olfr575
ENSMUSG00000026288,87620312,87720507,1,1,Inpp5d
ENSMUSG00000101570,53142435,53143976,Y,1,Gm28233
ENSMUSG00000010205,21074168,21091988,9,-1,Raver1
ENSMUSG00000000278,88924020,88955465,11,-1,Scpep1
ENSMUSG00000005237,69420809,69549110,11,-1,Dnah2
ENSMUSG00000038773,34777008,34839370,18,1,Kdm3b
ENSMUSG00000031896,105931994,105933862,8,-1,Ctrl
ENSMUSG00000044258,60934155,60936625,13,-1,Ctla2a
ENSMUSG00000081424,88036371,88036906,X,-1,Gm14774
ENSMUSG00000076583,70216858,70217421,6,-1,Igkv8-24
ENSMUSG00000031847,116969599,116978943,8,-1,1700030J22Rik
ENSMUSG00000099459,138190194,138192127,1,-1,Gm28556
ENSMUSG00000046711,27556620,27563674,17,1,Hmga1
ENSMUSG00000042978,126272619,126294999,7,1,Sbk1
ENSMUSG00000030138,118383383,118419417,6,-1,Bms1
ENSMUSG00000002102,91054009,91066369,2,1,Psmc3
ENSMUSG00000021745,11553532,12242041,14,1,Ptprg
ENSMUSG00000078604,107631322,107633090,3,1,Gm10961
ENSMUSG00000000365,56402697,56525032,14,1,Rnf17
ENSMUSG00000030344,126853098,126874307,6,1,Akap3
ENSMUSG00000103219,171634879,171636022,1,1,RP23-116M12.7
ENSMUSG00000030747,99153663,99182713,7,-1,Dgat2
ENSMUSG00000062456,32465885,32466575,19,-1,Rpl9-ps6
ENSMUSG00000094721,13190669,13191592,19,1,Olfr1462
ENSMUSG00000045912,79606857,79614025,10,-1,C2cd4c
ENSMUSG00000048284,42434535,42435464,6,1,Tas2r126
ENSMUSG00000075053,18030324,18031629,13,-1,Vdac3-ps1
ENSMUSG00000036647,106955984,106956934,7,-1,Olfr6
ENSMUSG00000025489,140948963,140950239,7,-1,Ifitm5
ENSMUSG00000026814,32646595,32682669,2,1,Eng
ENSMUSG00000092251,53101693,53102401,14,1,Trav9n-1
ENSMUSG00000037890,65199696,65260415,5,1,Wdr19
ENSMUSG00000103315,25227517,25228031,15,-1,RP24-572J18.1
ENSMUSG00000071481,43167010,43168027,6,1,Olfr437
ENSMUSG00000058672,34074301,34078008,13,-1,Tubb2a
ENSMUSG00000054431,42817473,42818405,6,1,Olfr450
